1,4,
2,7,
3,12,
4,19,
5,28,
6,39,
7,52,
8,67,
9,84,
10,103,
11,124,
12,147,
13,172,
14,199,
15,228,
16,259,
17,292,
18,327,
19,364,
20,403,
21,444,
22,487,
23,532,
24,579,
25,628,
26,679,
27,732,
28,787,
29,844,
30,903,
31,964,
32,1027,
33,1092,
34,1159,
35,1228,
36,1299,
37,1372,
38,1447,
39,1524,
40,1603,
41,1684,
42,1767,
43,1852,
44,1939,
45,2028,
46,2119,
47,2212,
48,2307,
49,2404,
50,2503,
51,2604,
52,2707,
53,2812,
54,2919,
55,3028,
56,3139,
57,3252,
58,3367,
59,3484,
60,3603,
61,3724,
62,3847,
63,3972,
64,4099,
65,4228,
66,4359,
67,4492,
68,4627,
69,4764,
70,4903,
71,5044,
72,5187,
73,5332,
74,5479,
75,5628,
76,5779,
77,5932,
78,6087,
79,6244,
80,6403,
81,6564,
82,6727,
83,6892,
84,7059,
85,7228,
86,7399,
87,7572,
88,7747,
89,7924,
90,8103,
91,8284,
92,8467,
93,8652,
94,8839,
95,9028,
96,9219,
97,9412,
98,9607,
99,9804,
100,10003,
