1,100,
2,107,
3,126,
4,163,
5,224,
6,315,
7,442,
8,611,
9,828,
10,1099,
11,1430,
12,1827,
13,2296,
14,2843,
15,3474,
16,4195,
17,5012,
18,5931,
19,6958,
20,8099,
21,9360,
22,10747,
23,12266,
24,13923,
25,15724,
26,17675,
27,19782,
28,22051,
29,24488,
30,27099,
31,29890,
32,32867,
33,36036,
34,39403,
35,42974,
36,46755,
37,50752,
38,54971,
39,59418,
40,64099,
41,69020,
42,74187,
43,79606,
44,85283,
45,91224,
46,97435,
47,103922,
48,110691,
49,117748,
50,125099,
51,132750,
52,140707,
53,148976,
54,157563,
55,166474,
56,175715,
57,185292,
58,195211,
59,205478,
60,216099,
61,227080,
62,238427,
63,250146,
64,262243,
65,274724,
66,287595,
67,300862,
68,314531,
69,328608,
70,343099,
71,358010,
72,373347,
73,389116,
74,405323,
75,421974,
76,439075,
77,456632,
78,474651,
79,493138,
80,512099,
81,531540,
82,551467,
83,571886,
84,592803,
85,614224,
86,636155,
87,658602,
88,681571,
89,705068,
90,729099,
91,753670,
92,778787,
93,804456,
94,830683,
95,857474,
96,884835,
97,912772,
98,941291,
99,970398,
